Rank,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-08-31,2024-09-01,2024-09-02
26,Leylah Annie Fernandez,Linda Noskova,Mirra Andreeva,Marketa Vondrousova,Marta Kostyuk,Liudmila Samsonova,Elise Mertens,Elise Mertens
27,Anastasia Pavlyuchenkova,Leylah Annie Fernandez,Donna Vekic,Mirra Andreeva,Victoria Azarenka,Ons Jabeur,Madison Keys,Madison Keys
28,Elina Svitolina,Anastasia Pavlyuchenkova,Yulia Putintseva,Donna Vekic,Beatriz Haddad Maia,Diana Shnaider,Anna Kalinskaya,Beatriz Haddad Maia
29,Paula Badosa,Elina Svitolina,Linda Noskova,Yulia Putintseva,Marketa Vondrousova,Marta Kostyuk,Liudmila Samsonova,Anna Kalinskaya
30,Caroline Garcia,Paula Badosa,Anastasia Potapova,Linda Noskova,Ashlyn Krueger,Victoria Azarenka,Ons Jabeur,Liudmila Samsonova
31,Ekaterina Alexandrova,Caroline Garcia,Leylah Annie Fernandez,Anastasia Potapova,Mirra Andreeva,Beatriz Haddad Maia,Marta Kostyuk,Ons Jabeur
32,Yulia Putintseva,Ekaterina Alexandrova,Anastasia Pavlyuchenkova,Leylah Annie Fernandez,Donna Vekic,Marketa Vondrousova,Victoria Azarenka,Marta Kostyuk
33,Katie Boulter,Yulia Putintseva,Elina Svitolina,Anastasia Pavlyuchenkova,Yulia Putintseva,Ashlyn Krueger,Beatriz Haddad Maia,Victoria Azarenka
34,Dayana Yastremska,Katie Boulter,Paula Badosa,Elina Svitolina,Linda Noskova,Mirra Andreeva,Marketa Vondrousova,Marketa Vondrousova
35,Elise Mertens,Jule Niemeier,Renata Zarazua,Paula Badosa,Anastasia Potapova,Yulia Putintseva,Ashlyn Krueger,Ashlyn Krueger
36,Katerina Siniakova,Dayana Yastremska,Caroline Garcia,Renata Zarazua,Leylah Annie Fernandez,Linda Noskova,Mirra Andreeva,Mirra Andreeva
37,Yue Yuan,Elise Mertens,Ekaterina Alexandrova,Caroline Garcia,Anastasia Pavlyuchenkova,Anastasia Potapova,Yulia Putintseva,Yulia Putintseva
38,Anastasia Potapova,Katerina Siniakova,Katie Boulter,Ekaterina Alexandrova,Elina Svitolina,Leylah Annie Fernandez,Linda Noskova,Linda Noskova
39,Sorana Cirstea,Erika Andreeva,Jule Niemeier,Katie Boulter,Paula Badosa,Anastasia Pavlyuchenkova,Anastasia Potapova,Anastasia Potapova
40,Xinyu Wang,Yue Yuan,Dayana Yastremska,Jule Niemeier,Renata Zarazua,Elina Svitolina,Leylah Annie Fernandez,Leylah Annie Fernandez
41,Lulu Sun,Anastasia Potapova,Elise Mertens,Dayana Yastremska,Caroline Garcia,Caroline Wozniacki,Anastasia Pavlyuchenkova,Anastasia Pavlyuchenkova
42,Magda Linette,Sorana Cirstea,Katerina Siniakova,Elise Mertens,Ekaterina Alexandrova,Renata Zarazua,Elina Svitolina,Elina Svitolina
43,Magdalena Frech,Xinyu Wang,Erika Andreeva,Katerina Siniakova,Jessica Bouzas Maneiro,Caroline Garcia,Renata Zarazua,Renata Zarazua
44,Karolina Pliskova,Lulu Sun,Yue Yuan,Erika Andreeva,Katie Boulter,Ekaterina Alexandrova,Caroline Garcia,Caroline Garcia
45,Marie Bouzkova,Iva Jovic,Sorana Cirstea,Yue Yuan,Jule Niemeier,Jessica Bouzas Maneiro,Ekaterina Alexandrova,Ekaterina Alexandrova
46,Veronika Kudermetova,Magda Linette,Xinyu Wang,Sorana Cirstea,Dayana Yastremska,Katie Boulter,Jessica Bouzas Maneiro,Jessica Bouzas Maneiro
47,Peyton Stearns,Greet Minnen,Lucia Bronzetti,Xinyu Wang,Elise Mertens,Jule Niemeier,Katie Boulter,Katie Boulter
48,Taylor Townsend,Magdalena Frech,Lulu Sun,Lucia Bronzetti,Katerina Siniakova,Dayana Yastremska,Jule Niemeier,Jule Niemeier
49,Caroline Dolehide,Karolina Pliskova,Iva Jovic,Lulu Sun,Erika Andreeva,Elise Mertens,Dayana Yastremska,Dayana Yastremska
50,Amanda Anisimova,Marie Bouzkova,Magda Linette,Iva Jovic,Yue Yuan,Katerina Siniakova,Katerina Siniakova,Katerina Siniakova
51,Elina Avanesyan,Veronika Kudermetova,Greet Minnen,Magda Linette,Sorana Cirstea,Erika Andreeva,Erika Andreeva,Erika Andreeva
52,Karolina Muchova,Peyton Stearns,Magdalena Frech,Greet Minnen,Xinyu Wang,Yue Yuan,Yue Yuan,Yue Yuan
53,Xiyu Wang,Taylor Townsend,Karolina Pliskova,Magdalena Frech,Lucia Bronzetti,Sorana Cirstea,Sorana Cirstea,Sorana Cirstea
54,Sofia Kenin,Caroline Dolehide,Marie Bouzkova,Karolina Pliskova,Lulu Sun,Xinyu Wang,Xinyu Wang,Xinyu Wang
55,Anhelina Kalinina,Amanda Anisimova,Veronika Kudermetova,Marie Bouzkova,Iva Jovic,Lucia Bronzetti,Lucia Bronzetti,Lucia Bronzetti
56,Clara Burel,Elina Avanesyan,Peyton Stearns,Veronika Kudermetova,Magda Linette,Lulu Sun,Lulu Sun,Lulu Sun
57,Katie Volynets,Karolina Muchova,Taylor Townsend,Peyton Stearns,Greet Minnen,Iva Jovic,Iva Jovic,Iva Jovic
58,Viktoriya Tomova,Diane Parry,Amanda Anisimova,Taylor Townsend,Magdalena Frech,Magda Linette,Magda Linette,Magda Linette
59,Ashlyn Krueger,Xiyu Wang,Elina Avanesyan,Amanda Anisimova,Karolina Pliskova,Greet Minnen,Greet Minnen,Greet Minnen
60,Diane Parry,Sofia Kenin,Karolina Muchova,Elina Avanesyan,Marie Bouzkova,Magdalena Frech,Magdalena Frech,Magdalena Frech
61,Lin Zhu,Anhelina Kalinina,Diane Parry,Karolina Muchova,Veronika Kudermetova,Karolina Pliskova,Karolina Pliskova,Karolina Pliskova
62,Sloane Stephens,Clara Burel,Xiyu Wang,Diane Parry,Taylor Townsend,Marie Bouzkova,Marie Bouzkova,Marie Bouzkova
63,Mccartney Kessler,Katie Volynets,Sofia Kenin,Xiyu Wang,Amanda Anisimova,Veronika Kudermetova,Veronika Kudermetova,Veronika Kudermetova
64,Moyuka Uchijima,Viktoriya Tomova,Anhelina Kalinina,Sofia Kenin,Elina Avanesyan,Taylor Townsend,Taylor Townsend,Taylor Townsend
65,Elisabetta Cocciaretto,Ashlyn Krueger,Clara Burel,Anhelina Kalinina,Karolina Muchova,Amanda Anisimova,Amanda Anisimova,Amanda Anisimova
66,Varvara Gracheva,Lin Zhu,Katie Volynets,Clara Burel,Diane Parry,Elina Avanesyan,Elina Avanesyan,Elina Avanesyan
67,Clara Tauson,Sloane Stephens,Viktoriya Tomova,Katie Volynets,Xiyu Wang,Diane Parry,Diane Parry,Diane Parry
68,Nadia Podoroska,Mccartney Kessler,Ashlyn Krueger,Viktoriya Tomova,Sofia Kenin,Xiyu Wang,Xiyu Wang,Xiyu Wang
69,Jaqueline Cristian,Moyuka Uchijima,Lin Zhu,Ashlyn Krueger,Anhelina Kalinina,Sofia Kenin,Sofia Kenin,Sofia Kenin
70,Greet Minnen,Elisabetta Cocciaretto,Sloane Stephens,Lin Zhu,Clara Burel,Anhelina Kalinina,Anhelina Kalinina,Anhelina Kalinina
71,Caroline Wozniacki,Varvara Gracheva,Mccartney Kessler,Sloane Stephens,Katie Volynets,Clara Burel,Clara Burel,Clara Burel
72,Emma Raducanu,Clara Tauson,Moyuka Uchijima,Mccartney Kessler,Viktoriya Tomova,Katie Volynets,Katie Volynets,Katie Volynets
73,Viktorija Golubic,Nadia Podoroska,Elisabetta Cocciaretto,Moyuka Uchijima,Lin Zhu,Viktoriya Tomova,Viktoriya Tomova,Viktoriya Tomova
74,Jessica Bouzas Maneiro,Jaqueline Cristian,Varvara Gracheva,Elisabetta Cocciaretto,Sloane Stephens,Lin Zhu,Lin Zhu,Lin Zhu
75,Erika Andreeva,Caroline Wozniacki,Clara Tauson,Varvara Gracheva,Mccartney Kessler,Sloane Stephens,Sloane Stephens,Sloane Stephens
76,Lucia Bronzetti,Emma Raducanu,Nadia Podoroska,Clara Tauson,Moyuka Uchijima,Mccartney Kessler,Mccartney Kessler,Mccartney Kessler
77,Cristina Bucsa,Viktorija Golubic,Jaqueline Cristian,Nadia Podoroska,Elisabetta Cocciaretto,Moyuka Uchijima,Moyuka Uchijima,Moyuka Uchijima
78,Harriet Dart,Jessica Bouzas Maneiro,Caroline Wozniacki,Jaqueline Cristian,Varvara Gracheva,Elisabetta Cocciaretto,Elisabetta Cocciaretto,Elisabetta Cocciaretto
79,Bernarda Pera,Lucia Bronzetti,Emma Raducanu,Caroline Wozniacki,Clara Tauson,Varvara Gracheva,Varvara Gracheva,Varvara Gracheva
80,Yafan Wang,Cristina Bucsa,Viktorija Golubic,Emma Raducanu,Nadia Podoroska,Clara Tauson,Clara Tauson,Clara Tauson
81,Anna Blinkova,Harriet Dart,Jessica Bouzas Maneiro,Viktorija Golubic,Jaqueline Cristian,Nadia Podoroska,Nadia Podoroska,Nadia Podoroska
82,Camila Osorio,Bernarda Pera,Sara Errani,Jessica Bouzas Maneiro,Caroline Wozniacki,Jaqueline Cristian,Jaqueline Cristian,Jaqueline Cristian
83,Maria Lourdes Carle,Anna Blinkova,Cristina Bucsa,Sara Errani,Emma Raducanu,Emma Raducanu,Emma Raducanu,Emma Raducanu
84,Anna Bondar,Camila Osorio,Harriet Dart,Cristina Bucsa,Viktorija Golubic,Viktorija Golubic,Viktorija Golubic,Viktorija Golubic
85,Lesia Tsurenko,Maria Lourdes Carle,Anna Bondar,Harriet Dart,Cristina Bucsa,Cristina Bucsa,Cristina Bucsa,Cristina Bucsa
86,Oceane Dodin,Anna Bondar,Bernarda Pera,Anna Bondar,Harriet Dart,Harriet Dart,Harriet Dart,Harriet Dart
87,Anna Karolina Schmiedlova,Lesia Tsurenko,Anna Blinkova,Bernarda Pera,Anna Bondar,Anna Bondar,Anna Bondar,Anna Bondar
88,Naomi Osaka,Oceane Dodin,Camila Osorio,Anna Blinkova,Bernarda Pera,Bernarda Pera,Bernarda Pera,Bernarda Pera
89,Mayar Sherif,Anna Karolina Schmiedlova,Maria Lourdes Carle,Camila Osorio,Anna Blinkova,Anna Blinkova,Anna Blinkova,Anna Blinkova
90,Martina Trevisan,Naomi Osaka,Lesia Tsurenko,Maria Lourdes Carle,Camila Osorio,Camila Osorio,Camila Osorio,Camila Osorio
91,Ana Bogdan,Mayar Sherif,Oceane Dodin,Lesia Tsurenko,Maria Lourdes Carle,Maria Lourdes Carle,Maria Lourdes Carle,Maria Lourdes Carle
92,Renata Zarazua,Martina Trevisan,Anna Karolina Schmiedlova,Oceane Dodin,Lesia Tsurenko,Lesia Tsurenko,Lesia Tsurenko,Lesia Tsurenko
93,Arantxa Rus,Arantxa Rus,Mayar Sherif,Anna Karolina Schmiedlova,Oceane Dodin,Oceane Dodin,Oceane Dodin,Oceane Dodin
94,Laura Siegemund,Ana Bogdan,Martina Trevisan,Mayar Sherif,Anna Karolina Schmiedlova,Anna Karolina Schmiedlova,Anna Karolina Schmiedlova,Anna Karolina Schmiedlova
95,Daria Saville,Renata Zarazua,Arantxa Rus,Martina Trevisan,Mayar Sherif,Mayar Sherif,Mayar Sherif,Mayar Sherif
96,Sara Errani,Maya Joint,Ana Bogdan,Arantxa Rus,Martina Trevisan,Martina Trevisan,Martina Trevisan,Martina Trevisan
97,Chloe Paquet,Laura Siegemund,Maya Joint,Ana Bogdan,Arantxa Rus,Arantxa Rus,Arantxa Rus,Arantxa Rus
98,Petra Martic,Daria Saville,Laura Siegemund,Maya Joint,Ana Bogdan,Ana Bogdan,Ana Bogdan,Ana Bogdan
99,Tatjana Maria,Sara Errani,Ena Shibahara,Laura Siegemund,Maya Joint,Maya Joint,Maya Joint,Maya Joint
100,Nuria Parrizas Diaz,Chloe Paquet,Daria Saville,Ena Shibahara,Laura Siegemund,Laura Siegemund,Laura Siegemund,Laura Siegemund
