Rank,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-08-31,2024-09-01,2024-09-02
44,Matteo Berrettini,Adrian Mannarino,Mariano Navone,Laslo Djere,Matteo Arnaldi,Francisco Cerundolo,Francisco Cerundolo,Francisco Cerundolo
45,Gael Monfils,Pedro Martinez,Luciano Darderi,Jan-Lennard Struff,Flavio Cobolli,Matteo Arnaldi,Matteo Arnaldi,Matteo Arnaldi
46,Marcos Giron,Matteo Berrettini,Jiri Lehecka,Mariano Navone,Laslo Djere,Flavio Cobolli,Flavio Cobolli,Flavio Cobolli
47,Cameron Norrie,Gael Monfils,Tomas Machac,Luciano Darderi,Jan-Lennard Struff,Laslo Djere,Laslo Djere,Laslo Djere
48,Lorenzo Sonego,Marcos Giron,Tallon Griekspoor,Jiri Lehecka,Mariano Navone,Jan-Lennard Struff,Jan-Lennard Struff,Jan-Lennard Struff
49,Alex Michelsen,Cameron Norrie,Zhizhen Zhang,Tomas Machac,Luciano Darderi,Mariano Navone,Mariano Navone,Mariano Navone
50,Brandon Nakashima,Lorenzo Sonego,Adrian Mannarino,Zhizhen Zhang,Jiri Lehecka,Luciano Darderi,Luciano Darderi,Luciano Darderi
51,Fabian Marozsan,Alex Michelsen,Pedro Martinez,Adrian Mannarino,Zhizhen Zhang,Jiri Lehecka,Jiri Lehecka,Jiri Lehecka
52,Giovanni Mpetshi Perricard,Fabian Marozsan,Matteo Berrettini,Pedro Martinez,Adrian Mannarino,Zhizhen Zhang,Zhizhen Zhang,Zhizhen Zhang
53,Yoshihito Nishioka,Giovanni Mpetshi Perricard,Gael Monfils,Matteo Berrettini,Pedro Martinez,Adrian Mannarino,Adrian Mannarino,Adrian Mannarino
54,Miomir Kecmanovic,Miomir Kecmanovic,Marcos Giron,Gael Monfils,Matteo Berrettini,Pedro Martinez,Pedro Martinez,Pedro Martinez
55,Roberto Carballes Baena,Yoshihito Nishioka,Cameron Norrie,Marcos Giron,Gael Monfils,Matteo Berrettini,Matteo Berrettini,Matteo Berrettini
56,Arthur Rinderknech,Roberto Carballes Baena,Lorenzo Sonego,Cameron Norrie,Marcos Giron,Gael Monfils,Gael Monfils,Gael Monfils
57,Roman Safiullin,Arthur Rinderknech,Alex Michelsen,Lorenzo Sonego,Cameron Norrie,Marcos Giron,Marcos Giron,Marcos Giron
58,Sebastian Ofner,Roman Safiullin,Fabian Marozsan,Alex Michelsen,Lorenzo Sonego,Cameron Norrie,Cameron Norrie,Cameron Norrie
59,Alejandro Davidovich Fokina,Sebastian Ofner,Giovanni Mpetshi Perricard,Fabian Marozsan,Alex Michelsen,Lorenzo Sonego,Lorenzo Sonego,Lorenzo Sonego
60,Pavel Kotov,Rinky Hijikata,Miomir Kecmanovic,Giovanni Mpetshi Perricard,Fabian Marozsan,Alex Michelsen,Alex Michelsen,Alex Michelsen
61,Alexander Shevchenko,Alejandro Davidovich Fokina,Yoshihito Nishioka,Miomir Kecmanovic,Giovanni Mpetshi Perricard,Fabian Marozsan,Fabian Marozsan,Fabian Marozsan
62,Rinky Hijikata,Pavel Kotov,Roberto Carballes Baena,Yoshihito Nishioka,Miomir Kecmanovic,Giovanni Mpetshi Perricard,Giovanni Mpetshi Perricard,Giovanni Mpetshi Perricard
63,Hugo Gaston,Alexander Shevchenko,Arthur Rinderknech,Roberto Carballes Baena,Yoshihito Nishioka,Miomir Kecmanovic,Miomir Kecmanovic,Miomir Kecmanovic
64,Facundo Diaz Acosta,Hugo Gaston,Roman Safiullin,Arthur Rinderknech,Roberto Carballes Baena,Yoshihito Nishioka,Yoshihito Nishioka,Yoshihito Nishioka
65,Jakub Mensik,Facundo Diaz Acosta,Sebastian Ofner,Roman Safiullin,Arthur Rinderknech,Roberto Carballes Baena,Roberto Carballes Baena,Roberto Carballes Baena
66,Dusan Lajovic,Jakub Mensik,Rinky Hijikata,Sebastian Ofner,Roman Safiullin,Arthur Rinderknech,Arthur Rinderknech,Arthur Rinderknech
67,Roberto Bautista Agut,Dusan Lajovic,Alejandro Davidovich Fokina,Rinky Hijikata,Sebastian Ofner,Roman Safiullin,Roman Safiullin,Roman Safiullin
68,Thiago Seyboth Wild,Roberto Bautista Agut,Zizou Bergs,Alejandro Davidovich Fokina,Rinky Hijikata,Sebastian Ofner,Sebastian Ofner,Sebastian Ofner
69,Corentin Moutet,Thiago Seyboth Wild,Pavel Kotov,Zizou Bergs,Alejandro Davidovich Fokina,Rinky Hijikata,Rinky Hijikata,Rinky Hijikata
70,James Duckworth,Corentin Moutet,Alexander Shevchenko,Pavel Kotov,Zizou Bergs,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina
71,Fabio Fognini,James Duckworth,Facundo Diaz Acosta,Alexander Shevchenko,Pavel Kotov,Zizou Bergs,Zizou Bergs,Zizou Bergs
72,Juncheng Shang,Fabio Fognini,Hugo Gaston,Facundo Diaz Acosta,Alexander Shevchenko,Pavel Kotov,Pavel Kotov,Pavel Kotov
73,Sumit Nagal,Sumit Nagal,Dusan Lajovic,Hugo Gaston,Facundo Diaz Acosta,Alexander Shevchenko,Alexander Shevchenko,Alexander Shevchenko
74,Botic van de Zandschulp,Botic van de Zandschulp,Roberto Bautista Agut,Dusan Lajovic,Hugo Gaston,Facundo Diaz Acosta,Facundo Diaz Acosta,Facundo Diaz Acosta
75,Thiago Monteiro,Thiago Monteiro,Thiago Seyboth Wild,Roberto Bautista Agut,Dusan Lajovic,Hugo Gaston,Hugo Gaston,Hugo Gaston
76,Aleksandar Kovacevic,Aleksandar Kovacevic,Corentin Moutet,Thiago Seyboth Wild,Roberto Bautista Agut,Dusan Lajovic,Dusan Lajovic,Dusan Lajovic
77,Alexandre Muller,Alexandre Muller,James Duckworth,Corentin Moutet,Thiago Seyboth Wild,Roberto Bautista Agut,Roberto Bautista Agut,Roberto Bautista Agut
78,David Goffin,David Goffin,Fabio Fognini,James Duckworth,Corentin Moutet,Thiago Seyboth Wild,Thiago Seyboth Wild,Thiago Seyboth Wild
79,Federico Coria,Federico Coria,Sumit Nagal,Fabio Fognini,James Duckworth,Corentin Moutet,Corentin Moutet,Corentin Moutet
80,Zizou Bergs,Zizou Bergs,Botic van de Zandschulp,Sumit Nagal,Fabio Fognini,James Duckworth,James Duckworth,James Duckworth
81,Marton Fucsovics,Marton Fucsovics,Thiago Monteiro,Botic van de Zandschulp,Sumit Nagal,Fabio Fognini,Fabio Fognini,Fabio Fognini
82,Damir Dzumhur,Damir Dzumhur,Aleksandar Kovacevic,Thiago Monteiro,Botic van de Zandschulp,Sumit Nagal,Sumit Nagal,Sumit Nagal
83,Dominik Koepfer,Dominik Koepfer,Alexandre Muller,Aleksandar Kovacevic,Thiago Monteiro,Thiago Monteiro,Thiago Monteiro,Thiago Monteiro
84,Jaume Munar,Jaume Munar,Federico Coria,Alexandre Muller,Aleksandar Kovacevic,Aleksandar Kovacevic,Aleksandar Kovacevic,Aleksandar Kovacevic
85,Emil Ruusuvuori,Emil Ruusuvuori,Marton Fucsovics,Federico Coria,Alexandre Muller,Alexandre Muller,Alexandre Muller,Alexandre Muller
86,Thanasi Kokkinakis,Thanasi Kokkinakis,Damir Dzumhur,Marton Fucsovics,Federico Coria,Federico Coria,Federico Coria,Federico Coria
87,Christopher O'Connell,Christopher O'Connell,Dominik Koepfer,Damir Dzumhur,Marton Fucsovics,Marton Fucsovics,Marton Fucsovics,Marton Fucsovics
88,Taro Daniel,Taro Daniel,Gabriel Diallo,Dominik Koepfer,Damir Dzumhur,Damir Dzumhur,Damir Dzumhur,Damir Dzumhur
89,Daniel Altmaier,Daniel Altmaier,Jaume Munar,Gabriel Diallo,Dominik Koepfer,Dominik Koepfer,Dominik Koepfer,Dominik Koepfer
90,Luca Nardi,Luca Nardi,Emil Ruusuvuori,Jaume Munar,Jaume Munar,Jaume Munar,Jaume Munar,Jaume Munar
91,Arthur Cazaux,Arthur Cazaux,Tristan Schoolkate,Emil Ruusuvuori,Emil Ruusuvuori,Emil Ruusuvuori,Emil Ruusuvuori,Emil Ruusuvuori
92,Aleksandar Vukic,Aleksandar Vukic,Taro Daniel,Tristan Schoolkate,Tristan Schoolkate,Tristan Schoolkate,Tristan Schoolkate,Tristan Schoolkate
93,Camilo Ugo Carabelli,Camilo Ugo Carabelli,Daniel Altmaier,Taro Daniel,Taro Daniel,Taro Daniel,Taro Daniel,Taro Daniel
94,Thiago Agustin Tirante,Thiago Agustin Tirante,Luca Nardi,Daniel Altmaier,Daniel Altmaier,Daniel Altmaier,Daniel Altmaier,Daniel Altmaier
95,Adam Walton,Adam Walton,Arthur Cazaux,Luca Nardi,Luca Nardi,Luca Nardi,Luca Nardi,Luca Nardi
96,Yannick Hanfmann,Yannick Hanfmann,Max Purcell,Arthur Cazaux,Arthur Cazaux,Arthur Cazaux,Arthur Cazaux,Arthur Cazaux
97,Max Purcell,Max Purcell,Aleksandar Vukic,Max Purcell,Max Purcell,Max Purcell,Max Purcell,Max Purcell
98,Borna Coric,Borna Coric,Camilo Ugo Carabelli,Aleksandar Vukic,Aleksandar Vukic,Aleksandar Vukic,Aleksandar Vukic,Aleksandar Vukic
99,Aslan Karatsev,Aslan Karatsev,Thiago Agustin Tirante,Camilo Ugo Carabelli,Camilo Ugo Carabelli,Camilo Ugo Carabelli,Camilo Ugo Carabelli,Camilo Ugo Carabelli
100,Maximilian Marterer,Maximilian Marterer,Adam Walton,Thiago Agustin Tirante,Thiago Agustin Tirante,Thiago Agustin Tirante,Thiago Agustin Tirante,Thiago Agustin Tirante
